Freq.	V(n003)
1.76603782068614e+02	(-3.10697642268810e-03dB,1.79625255510051e+02°)
1.77010895831740e+02	(-3.10692900532803e-03dB,1.79624391630576e+02°)
1.77418948089014e+02	(-3.10688136909465e-03dB,1.79623525759624e+02°)
1.77827941003890e+02	(-3.10683351299532e-03dB,1.79622657892604e+02°)
1.78237876744807e+02	(-3.10678543598433e-03dB,1.79621788024914e+02°)
1.78648757485203e+02	(-3.10673713707193e-03dB,1.79620916151942e+02°)
1.79060585403527e+02	(-3.10668861522593e-03dB,1.79620042269066e+02°)
1.79473362683250e+02	(-3.10663986941220e-03dB,1.79619166371651e+02°)
1.79887091512876e+02	(-3.10659089859180e-03dB,1.79618288455054e+02°)
1.80301774085954e+02	(-3.10654170174120e-03dB,1.79617408514619e+02°)
1.80717412601090e+02	(-3.10649227781375e-03dB,1.79616526545682e+02°)
1.81134009261958e+02	(-3.10644262573094e-03dB,1.79615642543565e+02°)
1.81551566277311e+02	(-3.10639274449724e-03dB,1.79614756503581e+02°)
1.81970085860996e+02	(-3.10634263300713e-03dB,1.79613868421033e+02°)
1.82389570231961e+02	(-3.10629229021589e-03dB,1.79612978291211e+02°)
1.82810021614272e+02	(-3.10624171506044e-03dB,1.79612086109397e+02°)
1.83231442237119e+02	(-3.10619090645746e-03dB,1.79611191870859e+02°)
1.83653834334832e+02	(-3.10613986333231e-03dB,1.79610295570855e+02°)
1.84077200146893e+02	(-3.10608858460263e-03dB,1.79609397204634e+02°)
1.84501541917945e+02	(-3.10603706918510e-03dB,1.79608496767433e+02°)
1.84926861897805e+02	(-3.10598531597325e-03dB,1.79607594254476e+02°)
1.85353162341478e+02	(-3.10593332388857e-03dB,1.79606689660979e+02°)
1.85780445509167e+02	(-3.10588109182652e-03dB,1.79605782982145e+02°)
1.86208713666284e+02	(-3.10582861866423e-03dB,1.79604874213166e+02°)
1.86637969083464e+02	(-3.10577590330968e-03dB,1.79603963349225e+02°)
1.87068214036577e+02	(-3.10572294462747e-03dB,1.79603050385492e+02°)
1.87499450806739e+02	(-3.10566974147736e-03dB,1.79602135317125e+02°)
1.87931681680324e+02	(-3.10561629278278e-03dB,1.79601218139273e+02°)
1.88364908948977e+02	(-3.10556259737647e-03dB,1.79600298847073e+02°)
1.88799134909627e+02	(-3.10550865411917e-03dB,1.79599377435650e+02°)
1.89234361864495e+02	(-3.10545446188028e-03dB,1.79598453900119e+02°)
1.89670592121112e+02	(-3.10540001948774e-03dB,1.79597528235584e+02°)
1.90107827992327e+02	(-3.10534532581866e-03dB,1.79596600437135e+02°)
1.90546071796322e+02	(-3.10529037968265e-03dB,1.79595670499854e+02°)
1.90985325856621e+02	(-3.10523517993850e-03dB,1.79594738418810e+02°)
1.91425592502106e+02	(-3.10517972540257e-03dB,1.79593804189060e+02°)
1.91866874067026e+02	(-3.10512401488831e-03dB,1.79592867805652e+02°)
1.92309172891013e+02	(-3.10506804723716e-03dB,1.79591929263619e+02°)
1.92752491319091e+02	(-3.10501182124811e-03dB,1.79590988557987e+02°)
1.93196831701689e+02	(-3.10495533573847e-03dB,1.79590045683766e+02°)
1.93642196394658e+02	(-3.10489858950819e-03dB,1.79589100635958e+02°)
1.94088587759275e+02	(-3.10484158134469e-03dB,1.79588153409551e+02°)
1.94536008162263e+02	(-3.10478431004793e-03dB,1.79587203999524e+02°)
1.94984459975802e+02	(-3.10472677439469e-03dB,1.79586252400842e+02°)
1.95433945577536e+02	(-3.10466897317240e-03dB,1.79585298608459e+02°)
1.95884467350596e+02	(-3.10461090515302e-03dB,1.79584342617319e+02°)
1.96336027683602e+02	(-3.10455256911916e-03dB,1.79583384422351e+02°)
1.96788628970681e+02	(-3.10449396379166e-03dB,1.79582424018477e+02°)
1.97242273611482e+02	(-3.10443508797433e-03dB,1.79581461400603e+02°)
1.97696964011183e+02	(-3.10437594040057e-03dB,1.79580496563625e+02°)
1.98152702580507e+02	(-3.10431651981147e-03dB,1.79579529502427e+02°)
1.98609491735734e+02	(-3.10425682494044e-03dB,1.79578560211883e+02°)
1.99067333898716e+02	(-3.10419685454883e-03dB,1.79577588686851e+02°)
1.99526231496885e+02	(-3.10413660733629e-03dB,1.79576614922182e+02°)
1.99986186963271e+02	(-3.10407608203233e-03dB,1.79575638912712e+02°)
2.00447202736513e+02	(-3.10401527736649e-03dB,1.79574660653265e+02°)
2.00909281260870e+02	(-3.10395419205095e-03dB,1.79573680138655e+02°)
2.01372424986236e+02	(-3.10389282476892e-03dB,1.79572697363683e+02°)
2.01836636368153e+02	(-3.10383117421618e-03dB,1.79571712323137e+02°)
2.02301917867824e+02	(-3.10376923912323e-03dB,1.79570725011795e+02°)
2.02768271952125e+02	(-3.10370701814435e-03dB,1.79569735424422e+02°)
2.03235701093619e+02	(-3.10364450995217e-03dB,1.79568743555771e+02°)
2.03704207770569e+02	(-3.10358171325498e-03dB,1.79567749400582e+02°)
2.04173794466950e+02	(-3.10351862669358e-03dB,1.79566752953585e+02°)
2.04644463672464e+02	(-3.10345524894541e-03dB,1.79565754209495e+02°)
2.05116217882553e+02	(-3.10339157866667e-03dB,1.79564753163017e+02°)
2.05589059598411e+02	(-3.10332761447888e-03dB,1.79563749808843e+02°)
2.06062991326997e+02	(-3.10326335506910e-03dB,1.79562744141653e+02°)
2.06538015581050e+02	(-3.10319879904630e-03dB,1.79561736156115e+02°)
2.07014134879101e+02	(-3.10313394504450e-03dB,1.79560725846884e+02°)
2.07491351745488e+02	(-3.10306879169870e-03dB,1.79559713208603e+02°)
2.07969668710366e+02	(-3.10300333762074e-03dB,1.79558698235903e+02°)
2.08449088309726e+02	(-3.10293758140703e-03dB,1.79557680923402e+02°)
2.08929613085401e+02	(-3.10287152168967e-03dB,1.79556661265705e+02°)
2.09411245585086e+02	(-3.10280515705543e-03dB,1.79555639257407e+02°)
2.09893988362349e+02	(-3.10273848609589e-03dB,1.79554614893088e+02°)
2.10377843976644e+02	(-3.10267150739203e-03dB,1.79553588167317e+02°)
2.10862814993325e+02	(-3.10260421953639e-03dB,1.79552559074650e+02°)
2.11348903983661e+02	(-3.10253662109837e-03dB,1.79551527609630e+02°)
2.11836113524847e+02	(-3.10246871064835e-03dB,1.79550493766787e+02°)
2.12324446200018e+02	(-3.10240048672002e-03dB,1.79549457540641e+02°)
2.12813904598268e+02	(-3.10233194791076e-03dB,1.79548418925696e+02°)
2.13304491314654e+02	(-3.10226309272533e-03dB,1.79547377916446e+02°)
2.13796208950220e+02	(-3.10219391971866e-03dB,1.79546334507371e+02°)
2.14289060112002e+02	(-3.10212442744183e-03dB,1.79545288692938e+02°)
