Freq.	V(out)
1.39315680294529e+02	(-1.54006320598459e+02dB,8.93911953262139e+01°)
1.39636836105593e+02	(-1.53946320562817e+02dB,8.93897941940652e+01°)
1.39958732257261e+02	(-1.53886320527009e+02dB,8.93883898266287e+01°)
1.40281370456195e+02	(-1.53826320491037e+02dB,8.93869822164584e+01°)
1.40604752412990e+02	(-1.53766320454898e+02dB,8.93855713560911e+01°)
1.40928879842186e+02	(-1.53706320418592e+02dB,8.93841572380461e+01°)
1.41253754462274e+02	(-1.53646320382119e+02dB,8.93827398548258e+01°)
1.41579377995707e+02	(-1.53586320345478e+02dB,8.93813191989151e+01°)
1.41905752168908e+02	(-1.53526320308667e+02dB,8.93798952627814e+01°)
1.42232878712281e+02	(-1.53466320271686e+02dB,8.93784680388750e+01°)
1.42560759360218e+02	(-1.53406320234535e+02dB,8.93770375196286e+01°)
1.42889395851109e+02	(-1.53346320197212e+02dB,8.93756036974574e+01°)
1.43218789927353e+02	(-1.53286320159717e+02dB,8.93741665647593e+01°)
1.43548943335364e+02	(-1.53226320122049e+02dB,8.93727261139144e+01°)
1.43879857825583e+02	(-1.53166320084207e+02dB,8.93712823372852e+01°)
1.44211535152486e+02	(-1.53106320046191e+02dB,8.93698352272167e+01°)
1.44543977074592e+02	(-1.53046320007998e+02dB,8.93683847760363e+01°)
1.44877185354475e+02	(-1.52986319969630e+02dB,8.93669309760535e+01°)
1.45211161758773e+02	(-1.52926319931084e+02dB,8.93654738195600e+01°)
1.45545908058195e+02	(-1.52866319892361e+02dB,8.93640132988300e+01°)
1.45881426027534e+02	(-1.52806319853459e+02dB,8.93625494061196e+01°)
1.46217717445671e+02	(-1.52746319814377e+02dB,8.93610821336670e+01°)
1.46554784095590e+02	(-1.52686319775114e+02dB,8.93596114736927e+01°)
1.46892627764385e+02	(-1.52626319735671e+02dB,8.93581374183991e+01°)
1.47231250243271e+02	(-1.52566319696045e+02dB,8.93566599599705e+01°)
1.47570653327588e+02	(-1.52506319656237e+02dB,8.93551790905733e+01°)
1.47910838816819e+02	(-1.52446319616245e+02dB,8.93536948023559e+01°)
1.48251808514594e+02	(-1.52386319576068e+02dB,8.93522070874483e+01°)
1.48593564228699e+02	(-1.52326319535706e+02dB,8.93507159379625e+01°)
1.48936107771090e+02	(-1.52266319495157e+02dB,8.93492213459924e+01°)
1.49279440957898e+02	(-1.52206319454421e+02dB,8.93477233036133e+01°)
1.49623565609442e+02	(-1.52146319413497e+02dB,8.93462218028826e+01°)
1.49968483550236e+02	(-1.52086319372385e+02dB,8.93447168358390e+01°)
1.50314196609001e+02	(-1.52026319331082e+02dB,8.93432083945032e+01°)
1.50660706618673e+02	(-1.51966319289589e+02dB,8.93416964708771e+01°)
1.51008015416413e+02	(-1.51906319247904e+02dB,8.93401810569443e+01°)
1.51356124843619e+02	(-1.51846319206027e+02dB,8.93386621446701e+01°)
1.51705036745932e+02	(-1.51786319163957e+02dB,8.93371397260009e+01°)
1.52054752973248e+02	(-1.51726319121692e+02dB,8.93356137928646e+01°)
1.52405275379728e+02	(-1.51666319079232e+02dB,8.93340843371707e+01°)
1.52756605823806e+02	(-1.51606319036577e+02dB,8.93325513508098e+01°)
1.53108746168202e+02	(-1.51546318993724e+02dB,8.93310148256537e+01°)
1.53461698279928e+02	(-1.51486318950674e+02dB,8.93294747535556e+01°)
1.53815464030302e+02	(-1.51426318907424e+02dB,8.93279311263499e+01°)
1.54170045294954e+02	(-1.51366318863976e+02dB,8.93263839358521e+01°)
1.54525443953840e+02	(-1.51306318820326e+02dB,8.93248331738588e+01°)
1.54881661891247e+02	(-1.51246318776475e+02dB,8.93232788321477e+01°)
1.55238700995807e+02	(-1.51186318732422e+02dB,8.93217209024773e+01°)
1.55596563160506e+02	(-1.51126318688166e+02dB,8.93201593765875e+01°)
1.55955250282694e+02	(-1.51066318643705e+02dB,8.93185942461988e+01°)
1.56314764264094e+02	(-1.51006318599039e+02dB,8.93170255030126e+01°)
1.56675107010813e+02	(-1.50946318554166e+02dB,8.93154531387113e+01°)
1.57036280433354e+02	(-1.50886318509087e+02dB,8.93138771449580e+01°)
1.57398286446620e+02	(-1.50826318463799e+02dB,8.93122975133966e+01°)
1.57761126969933e+02	(-1.50766318418303e+02dB,8.93107142356516e+01°)
1.58124803927037e+02	(-1.50706318372596e+02dB,8.93091273033284e+01°)
1.58489319246110e+02	(-1.50646318326679e+02dB,8.93075367080127e+01°)
1.58854674859776e+02	(-1.50586318280549e+02dB,8.93059424412711e+01°)
1.59220872705115e+02	(-1.50526318234207e+02dB,8.93043444946504e+01°)
1.59587914723672e+02	(-1.50466318187650e+02dB,8.93027428596783e+01°)
1.59955802861465e+02	(-1.50406318140879e+02dB,8.93011375278625e+01°)
1.60324539069002e+02	(-1.50346318093892e+02dB,8.92995284906913e+01°)
1.60694125301286e+02	(-1.50286318046688e+02dB,8.92979157396335e+01°)
1.61064563517825e+02	(-1.50226317999266e+02dB,8.92962992661380e+01°)
1.61435855682647e+02	(-1.50166317951625e+02dB,8.92946790616341e+01°)
1.61808003764305e+02	(-1.50106317903764e+02dB,8.92930551175311e+01°)
1.62181009735891e+02	(-1.50046317855682e+02dB,8.92914274252186e+01°)
1.62554875575047e+02	(-1.49986317807379e+02dB,8.92897959760665e+01°)
1.62929603263970e+02	(-1.49926317758852e+02dB,8.92881607614245e+01°)
1.63305194789432e+02	(-1.49866317710102e+02dB,8.92865217726225e+01°)
1.63681652142779e+02	(-1.49806317661126e+02dB,8.92848790009702e+01°)
1.64058977319952e+02	(-1.49746317611924e+02dB,8.92832324377576e+01°)
1.64437172321491e+02	(-1.49686317562496e+02dB,8.92815820742542e+01°)
1.64816239152549e+02	(-1.49626317512839e+02dB,8.92799279017095e+01°)
1.65196179822900e+02	(-1.49566317462952e+02dB,8.92782699113530e+01°)
1.65576996346951e+02	(-1.49506317412836e+02dB,8.92766080943936e+01°)
1.65958690743754e+02	(-1.49446317362488e+02dB,8.92749424420201e+01°)
1.66341265037015e+02	(-1.49386317311908e+02dB,8.92732729454011e+01°)
1.66724721255104e+02	(-1.49326317261094e+02dB,8.92715995956845e+01°)
1.67109061431069e+02	(-1.49266317210046e+02dB,8.92699223839979e+01°)
1.67494287602642e+02	(-1.49206317158762e+02dB,8.92682413014486e+01°)
1.67880401812254e+02	(-1.49146317107242e+02dB,8.92665563391232e+01°)
1.68267406107045e+02	(-1.49086317055483e+02dB,8.92648674880876e+01°)
1.68655302538872e+02	(-1.49026317003486e+02dB,8.92631747393874e+01°)
1.69044093164324e+02	(-1.48966316951249e+02dB,8.92614780840473e+01°)
1.69433780044731e+02	(-1.48906316898770e+02dB,8.92597775130714e+01°)
1.69824365246172e+02	(-1.48846316846049e+02dB,8.92580730174428e+01°)
1.70215850839493e+02	(-1.48786316793085e+02dB,8.92563645881242e+01°)
1.70608238900310e+02	(-1.48726316739877e+02dB,8.92546522160571e+01°)
1.71001531509027e+02	(-1.48666316686423e+02dB,8.92529358921622e+01°)
1.71395730750840e+02	(-1.48606316632722e+02dB,8.92512156073393e+01°)
1.71790838715757e+02	(-1.48546316578773e+02dB,8.92494913524671e+01°)
1.72186857498599e+02	(-1.48486316524575e+02dB,8.92477631184033e+01°)
1.72583789199018e+02	(-1.48426316470127e+02dB,8.92460308959845e+01°)
1.72981635921508e+02	(-1.48366316415428e+02dB,8.92442946760261e+01°)
1.73380399775412e+02	(-1.48306316360476e+02dB,8.92425544493225e+01°)
1.73780082874935e+02	(-1.48246316305271e+02dB,8.92408102066465e+01°)
1.74180687339159e+02	(-1.48186316249811e+02dB,8.92390619387500e+01°)
1.74582215292048e+02	(-1.48126316194094e+02dB,8.92373096363632e+01°)
1.74984668862463e+02	(-1.48066316138121e+02dB,8.92355532901951e+01°)
1.75388050184174e+02	(-1.48006316081889e+02dB,8.92337928909332e+01°)
1.75792361395867e+02	(-1.47946316025398e+02dB,8.92320284292437e+01°)
1.76197604641161e+02	(-1.47886315968646e+02dB,8.92302598957709e+01°)
1.76603782068614e+02	(-1.47826315911632e+02dB,8.92284872811377e+01°)
1.77010895831740e+02	(-1.47766315854355e+02dB,8.92267105759455e+01°)
1.77418948089014e+02	(-1.47706315796813e+02dB,8.92249297707737e+01°)
1.77827941003890e+02	(-1.47646315739006e+02dB,8.92231448561803e+01°)
1.78237876744807e+02	(-1.47586315680932e+02dB,8.92213558227012e+01°)
1.78648757485203e+02	(-1.47526315622590e+02dB,8.92195626608505e+01°)
1.79060585403527e+02	(-1.47466315563978e+02dB,8.92177653611207e+01°)
1.79473362683250e+02	(-1.47406315505096e+02dB,8.92159639139821e+01°)
1.79887091512876e+02	(-1.47346315445942e+02dB,8.92141583098830e+01°)
1.80301774085954e+02	(-1.47286315386516e+02dB,8.92123485392497e+01°)
1.80717412601090e+02	(-1.47226315326814e+02dB,8.92105345924865e+01°)
1.81134009261958e+02	(-1.47166315266838e+02dB,8.92087164599755e+01°)
1.81551566277311e+02	(-1.47106315206584e+02dB,8.92068941320765e+01°)
1.81970085860996e+02	(-1.47046315146053e+02dB,8.92050675991271e+01°)
1.82389570231961e+02	(-1.46986315085242e+02dB,8.92032368514428e+01°)
1.82810021614272e+02	(-1.46926315024150e+02dB,8.92014018793164e+01°)
1.83231442237119e+02	(-1.46866314962776e+02dB,8.91995626730186e+01°)
1.83653834334832e+02	(-1.46806314901119e+02dB,8.91977192227975e+01°)
1.84077200146893e+02	(-1.46746314839177e+02dB,8.91958715188787e+01°)
1.84501541917945e+02	(-1.46686314776950e+02dB,8.91940195514654e+01°)
1.84926861897805e+02	(-1.46626314714435e+02dB,8.91921633107379e+01°)
1.85353162341478e+02	(-1.46566314651632e+02dB,8.91903027868540e+01°)
1.85780445509167e+02	(-1.46506314588538e+02dB,8.91884379699489e+01°)
1.86208713666284e+02	(-1.46446314525154e+02dB,8.91865688501348e+01°)
1.86637969083464e+02	(-1.46386314461477e+02dB,8.91846954175014e+01°)
1.87068214036577e+02	(-1.46326314397506e+02dB,8.91828176621151e+01°)
1.87499450806739e+02	(-1.46266314333240e+02dB,8.91809355740197e+01°)
1.87931681680324e+02	(-1.46206314268677e+02dB,8.91790491432360e+01°)
1.88364908948977e+02	(-1.46146314203816e+02dB,8.91771583597617e+01°)
1.88799134909627e+02	(-1.46086314138655e+02dB,8.91752632135713e+01°)
1.89234361864495e+02	(-1.46026314073194e+02dB,8.91733636946164e+01°)
1.89670592121112e+02	(-1.45966314007431e+02dB,8.91714597928253e+01°)
1.90107827992327e+02	(-1.45906313941364e+02dB,8.91695514981030e+01°)
1.90546071796322e+02	(-1.45846313874993e+02dB,8.91676388003313e+01°)
1.90985325856621e+02	(-1.45786313808314e+02dB,8.91657216893685e+01°)
1.91425592502106e+02	(-1.45726313741329e+02dB,8.91638001550498e+01°)
